Last login: Thu Feb  8 11:15:29 on ttys000
Shivams-MacBook-Pro:~ shivamkumar$ ps -ef
  UID   PID  PPID   C STIME   TTY           TIME CMD
    0   265     1   0  1:55PM ??         0:00.02 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/XPCServices/com.apple.cmio.registerassistantservice.xpc/Contents/MacOS/com.apple.cmio.registerassistantservice
  262   266     1   0  1:55PM ??         0:00.14 /Library/CoreMediaIO/Plug-Ins/DAL/AppleCamera.plugin/Contents/Resources/AppleCameraAssistant
  265   268     1   0  1:55PM ??         0:00.45 /System/Library/PrivateFrameworks/CoreADI.framework/adid
    0   269     1   0  1:55PM ??         0:00.06 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
    0   270     1   0  1:55PM ??         0:00.05 /usr/libexec/colorsync.displayservices
    0   277     1   0  1:55PM ??         0:00.03 /usr/libexec/colorsyncd
    0   280     1   0  1:55PM ??         0:00.03 /usr/libexec/bootinstalld
    0   287     1   0  1:55PM ??         0:00.05 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
    0   289     1   0  1:55PM ??         0:00.04 /System/Library/PrivateFrameworks/AccountPolicy.framework/XPCServices/com.apple.AccountPolicyHelper.xpc/Contents/MacOS/com.apple.AccountPolicyHelper
    0   293     1   0  1:55PM ??         0:01.43 /System/Library/PrivateFrameworks/PerformanceAnalysis.framework/Versions/A/XPCServices/com.apple.PerformanceAnalysis.animationperfd.xpc/Contents/MacOS/com.apple.PerformanceAnalysis.animationperfd
    0   298     1   0  1:55PM ??         0:00.07 /System/Library/Frameworks/GSS.framework/Helpers/GSSCred
    0   304     1   0  1:55PM ??         0:00.28 /System/Library/CoreServices/sharedfilelistd
    0   306     1   0  1:55PM ??         0:00.11 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
    0   307     1   0  1:55PM ??         0:00.12 /usr/libexec/securityd_service
  501   308     1   0  1:55PM ??         0:46.69 /usr/sbin/cfprefsd agent
  501   309     1   0  1:55PM ??         0:08.06 /usr/libexec/UserEventAgent (Aqua)
  501   311     1   0  1:55PM ??         0:16.24 /usr/sbin/distnoted agent
  501   313     1   0  1:55PM ??         0:06.44 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
  501   314     1   0  1:55PM ??         0:02.20 /usr/libexec/lsd
  501   315     1   0  1:55PM ??         0:13.74 /usr/libexec/trustd --agent
  501   316     1   0  1:55PM ??         0:14.18 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  501   317     1   0  1:55PM ??         0:01.83 /System/Library/CoreServices/talagent
  501   318     1   0  1:55PM ??         1:13.19 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  501   319     1   0  1:55PM ??         0:20.23 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  501   320     1   0  1:55PM ??         0:09.55 /usr/libexec/secd
  501   323     1   0  1:55PM ??         0:01.16 /usr/libexec/pboard
  501   324     1   0  1:55PM ??         0:11.46 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  501   325     1   0  1:55PM ??         0:01.27 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
  501   327     1   0  1:55PM ??         0:00.85 /System/Library/CoreServices/sharedfilelistd
  501   328     1   0  1:55PM ??         0:01.97 /usr/libexec/pkd
  501   331     1   0  1:55PM ??         0:01.89 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd
  501   332     1   0  1:55PM ??         0:00.76 /System/Library/CoreServices/iconservicesagent
  501   335     1   0  1:55PM ??         0:18.85 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  501   336     1   0  1:55PM ??         0:05.11 /usr/libexec/nsurlsessiond
  501   337     1   0  1:55PM ??         0:16.82 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  501   339     1   0  1:55PM ??         0:01.18 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  501   340     1   0  1:55PM ??         0:00.05 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
  501   341     1   0  1:55PM ??         0:00.28 /System/Library/CoreServices/backgroundtaskmanagementagent
  501   343     1   0  1:55PM ??         0:02.24 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
    0   345     1   0  1:55PM ??         0:00.27 /usr/sbin/filecoordinationd
  501   346     1   0  1:55PM ??         0:00.92 /usr/sbin/usernoted
  501   347     1   0  1:55PM ??         0:00.43 /Users/shivamkumar/Library/Application Support/Google/Android File Transfer/Android File Transfer Agent.app/Contents/MacOS/Android File Transfer Agent
  501   348     1   0  1:55PM ??         0:01.54 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/SpeechSynthesis.framework/Versions/A/SpeechSynthesisServer.app/Contents/MacOS/SpeechSynthesisServer launchd
  501   349     1   0  1:55PM ??         0:00.05 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
  501   350     1   0  1:55PM ??         0:00.96 /Applications/iTunes.app/Contents/MacOS/iTunesHelper.app/Contents/MacOS/iTunesHelper
  501   351     1   0  1:55PM ??         0:00.74 /Library/Application Support/Native Instruments/Hardware/NIHardwareAgent.app/Contents/MacOS/NIHardwareAgent
  501   352     1   0  1:55PM ??         0:04.91 /usr/libexec/sharingd
  501   353     1   0  1:55PM ??         0:08.24 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  501   354     1   0  1:55PM ??         0:24.54 /usr/libexec/nsurlstoraged
  501   355     1   0  1:55PM ??         0:01.76 /System/Library/Frameworks/CoreMIDI.framework/MIDIServer
  501   356     1   0  1:55PM ??         0:26.35 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
    0   357     1   0  1:55PM ??         0:00.24 /usr/sbin/wirelessproxd
  501   358     1   0  1:55PM ??         0:25.33 /System/Library/PrivateFrameworks/CalendarAgent.framework/Executables/CalendarAgent
  501   360     1   0  1:55PM ??         0:00.06 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
    0   361     1   0  1:55PM ??         0:00.23 /usr/sbin/WirelessRadioManagerd
  501   362     1   0  1:55PM ??         0:01.49 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
  501   363     1   0  1:55PM ??         0:01.00 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  501   366     1   0  1:55PM ??         0:05.50 /usr/libexec/secinitd
  501   369     1   0  1:55PM ??         0:01.06 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
  501   370     1   0  1:55PM ??         0:01.10 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  501   371     1   0  1:55PM ??         0:00.24 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeaccountd
    0   372     1   0  1:55PM ??         0:00.07 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd system
  501   373     1   0  1:55PM ??         0:01.31 /System/Library/PrivateFrameworks/CoreWLANKit.framework/Versions/A/XPCServices/WiFiProxy.xpc/Contents/MacOS/WiFiProxy
  501   374     1   0  1:55PM ??         0:00.32 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
  501   376     1   0  1:55PM ??         0:00.94 /System/Library/PrivateFrameworks/MessagesKit.framework/Resources/soagent.app/Contents/MacOS/soagent
  501   377     1   0  1:55PM ??         0:12.14 /System/Library/PrivateFrameworks/CalendarNotification.framework/Versions/A/XPCServices/CalNCService.xpc/Contents/MacOS/CalNCService
  501   379     1   0  1:55PM ??         0:01.11 /System/Library/Frameworks/AddressBook.framework/Executables/ContactsAccountsService
  501   380     1   0  1:55PM ??         0:00.56 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
    0   381     1   0  1:55PM ??         2:58.36 /usr/sbin/spindump
  501   382     1   0  1:55PM ??         0:07.72 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
    0   383     1   0  1:55PM ??         2:31.14 /System/Library/CoreServices/SubmitDiagInfo server-init
  501   384     1   0  1:55PM ??         0:03.23 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
  501   385     1   0  1:55PM ??         0:02.80 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension
  501   386     1   0  1:55PM ??         0:01.93 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  501   387     1   0  1:55PM ??         0:00.06 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
  501   388     1   0  1:55PM ??         0:00.09 /System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/CloudKeychainProxy
  501   389     1   0  1:55PM ??         0:00.97 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
    0   390     1   0  1:55PM ??         0:00.31 /usr/sbin/systemsoundserverd
  501   391     1   0  1:55PM ??         0:00.14 /usr/libexec/rapportd
  501   392     1   0  1:55PM ??         0:01.28 /System/Library/PrivateFrameworks/ContactsAgent.framework/Executables/ContactsAgent
  501   393     1   0  1:55PM ??         0:01.89 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
  501   395     1   0  1:55PM ??         0:00.11 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  501   396     1   0  1:55PM ??         0:02.09 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
  501   397     1   0  1:55PM ??         0:00.22 /usr/sbin/ckkeyrolld
  501   399     1   0  1:55PM ??         0:00.15 /System/Library/CoreServices/SocialPushAgent.app/Contents/MacOS/SocialPushAgent
  501   403     1   0  1:55PM ??         0:00.18 /usr/libexec/dmd
  501   404     1   0  1:55PM ??         0:04.08 /System/Library/CoreServices/Siri.app/Contents/MacOS/Siri launchd
  501   405     1   0  1:55PM ??         0:00.32 /System/Library/Image Capture/Support/icdd
  501   408     1   0  1:55PM ??         0:01.86 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
  501   409     1   0  1:55PM ??         0:01.62 /usr/libexec/knowledge-agent
  501   410     1   0  1:55PM ??         0:00.23 /System/Library/CoreServices/cloudpaird
  501   413     1   0  1:55PM ??         0:02.95 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbagent.app/Contents/MacOS/nbagent
  501   414     1   0  1:55PM ??         0:00.94 /System/Library/CoreServices/diagnostics_agent
  501   417     1   0  1:55PM ??         0:00.20 /usr/libexec/fmfd
